periodo,tasa_real_expost,tipmn_nom,ipc,tasa_bcrp,tipo_cambio,embig_riesgo,liquidez_m2
Oct.2014,-0.7793404692822827,2.3087,80.9292246090764,3.5,2.90670909090909,170.26087,137941.99986565
Nov.2014,-0.8668022500035759,2.2923,80.8082672658879,3.5,2.92551,165.35,138654.84783693
Dic.2014,-0.9501611887173866,2.2739,80.9932305840506,3.5,2.9625380952381,181.91304,145503.22236224
Ene.2015,-0.8284632686097715,2.2448,81.1311585614732,3.25,3.006785,201.22727,141933.7242309
Feb.2015,-0.548585170722848,2.22,81.3773664204482,3.25,3.079435,182.85,140609.41233167
Mar.2015,-0.7920992883440943,2.2281,81.9996299525466,3.25,3.09223636363636,184.45455,138927.67463796
Abr.2015,-0.802746011868233,2.21466666666667,82.3198438304482,3.25,3.12064,176.95455,139137.78071525
May.2015,-1.0930018689415428,2.2732,82.7844285692493,3.25,3.151345,165.90476,138143.87990124
Jun.2015,-1.297210297404047,2.2477,83.0595554554826,3.25,3.16178095238095,176.5,138018.08204637
Jul.2015,-1.3497254797101106,2.2132,83.4339766262131,3.25,3.181965,186.69565,140803.65481401
Ago.2015,-1.786872842281503,2.2558,83.7487113799077,3.25,3.23944285714286,217.47619,137167.18247532
Sep.2015,-1.539554882987776,2.365,83.771774250334,3.5,3.21864545454545,234.27273,137077.63808944
Oct.2015,-1.2814949438696828,2.37870967741936,83.8913998281912,3.5,3.24952,225.90909,139502.21892053
Nov.2015,-1.7485670801886495,2.424,84.1800464238952,3.5,3.3382,218.90476,141316.88607007
Dic.2015,-1.9906285416693157,2.4073,84.5552549887266,3.75,3.38377619047619,236.65217,148398.93225415
Ene.2016,-2.110587843212911,2.4981,84.8702404031536,4.0,3.43865,267.05,145452.94158185
Feb.2016,-1.9037570150667817,2.57,85.0179920593596,4.25,3.50695714285714,282.38095,146047.48576064
Mar.2016,-1.6871805133492757,2.6139,85.5265000574541,4.25,3.40692857142857,226.82609,144548.04807954
Abr.2016,-1.2935132668402924,2.6137,85.5362556898337,4.25,3.3011,210.04762,147220.15299557
May.2016,-0.8345176575653257,2.7061,85.7155086648867,4.25,3.33468181818182,207.95455,149275.32050687
Jun.2016,-0.6959187207143231,2.6457,85.8350891099251,4.25,3.3161,209.90909,149835.46699026
Jul.2016,-0.25805894036732635,2.7039,85.9052567561972,4.25,3.29947368421053,184.19048,159175.47576732
Ago.2016,-0.23123095758978396,2.7113,86.213043138844,4.25,3.33382727272727,169.6087,161245.76984059
Sep.2016,-0.42167111206594843,2.705,86.3910421158843,4.25,3.38245909090909,161.77273,161693.12073509
Oct.2016,-0.6971877547129823,2.7081,86.7481433937979,4.25,3.38601904761905,146.52381,160326.59871864
Nov.2016,-0.6793324552274136,2.6703,86.9997685797355,4.25,3.40348947368421,167.81818,162308.09490402
Dic.2016,-0.604581950370183,2.6303,87.2905176704464,4.25,3.39542380952381,164.72727,165423.89277803
Ene.2017,-0.3963641592395728,2.7,87.4981321088573,4.25,3.33987272727273,157.3,165307.18967167
Feb.2017,-0.515893245596577,2.7339,87.7809010228465,4.25,3.259575,152.105263157895,165107.30773497
Mar.2017,-1.2671544514701,2.7077,88.9260539521744,4.25,3.26398260869565,141.086956521739,165556.95884138
Abr.2017,-0.9864157214179072,2.7083,88.6965771763182,4.25,3.24775555555556,149.444444444444,164975.73111821
May.2017,-0.3104025360419689,2.7294,88.3210908710632,4.0,3.27346363636364,141.181818181818,167165.6585383
Jun.2017,-0.010143917751470166,2.7223,88.1804847816058,4.0,3.267975,143.5,168565.03464669
Jul.2017,-0.15816926625982664,2.6939,88.3553341822423,3.75,3.24937368421053,141.9,170004.54398893
Ago.2017,-0.5167100701897978,2.6571,88.9492813838017,3.75,3.24155909090909,155.391304347826,172548.32597103
Sep.2017,-0.3489951355022596,2.596,88.9352541037068,3.5,3.24652380952381,144.0,178422.72167441
Oct.2017,0.5456568772166666,2.5858,88.5179296753887,3.5,3.25129545454545,139.619047619048,179655.10839983
Nov.2017,0.9953617679616995,2.5397,88.3433392676972,3.25,3.24079047619048,138.809523809524,182051.12532612
Dic.2017,1.0961441162855334,2.461,88.4819074367963,3.25,3.2465,136.15,186976.59715848
Ene.2018,1.1674116305825648,2.4206,88.594648523903,3.0,3.21490952380952,116.608695652174,189130.82683392
Feb.2018,1.165038751643369,2.3446,88.8163305147703,3.0,3.24881,132.2,189109.77071356
Mar.2018,1.922963970646261,2.2861,89.2489764935573,2.75,3.252255,147.045454545455,187291.85616273
Abr.2018,1.7488301137669806,2.2337,89.1266401691656,2.75,3.230685,145.238095238095,185719.89963319
May.2018,1.2687074867698307,2.1994,89.1430886514034,2.75,3.27410909090909,157.695652173913,185512.83020938
Jun.2018,0.83066596609354,2.26,89.440878461853,2.75,3.271345,163.333333333333,186875.15902027
